Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 14, 2018",6287.66,6287.94,5971.05,6199.71,5301700000,108199097492
"Aug 13, 2018",6341.36,6537.05,6225.72,6297.57,4083980000,109111523954
"Aug 12, 2018",6283.65,6409.85,6237.5,6322.69,5665250000,108106451582
"Aug 11, 2018",6185.79,6455.74,6109.03,6295.73,4047850000,106409456302
"Aug 10, 2018",6571.42,6591.26,6124.52,6184.71,4528680000,113028788092
"Aug 09, 2018",6305.56,6625.73,6249.07,6568.23,4267040000,108444366975
"Aug 08, 2018",6746.85,6746.85,6226.22,6305.8,5064430000,116020470612
"Aug 07, 2018",6958.32,7146.56,6748.24,6753.12,4682800000,119643646094
"Aug 06, 2018",7062.94,7166.55,6890.54,6951.8,3925900000,121430864537
"Aug 05, 2018",7031.08,7102.77,6940.7,7068.48,3679110000,120869247490
"Aug 04, 2018",7438.67,7497.49,6984.07,7032.85,4268390000,127859350021
"Aug 03, 2018",7562.14,7562.14,7328.65,7434.39,4627150000,129965898111
"Aug 02, 2018",7634.19,7712.77,7523.44,7567.15,4214110000,131189721712
"Aug 01, 2018",7769.04,7769.04,7504.95,7624.91,4797620000,133492645169
"Jul 31, 2018",8181.2,8181.53,7696.93,7780.44,5287530000,140559547538
"Jul 30, 2018",8221.58,8235.5,7917.5,8180.48,5551400000,141239444979
"Jul 29, 2018",8205.82,8272.26,8141.18,8218.46,4107190016,140951371776
"Jul 28, 2018",8169.06,8222.85,8110.77,8192.15,3988750080,140305137664
"Jul 27, 2018",7950.4,8262.66,7839.76,8165.01,5195879936,136532811776
"Jul 26, 2018",8176.85,8290.33,7878.71,7951.58,4899089920,140404998144
"Jul 25, 2018",8379.66,8416.87,8086.36,8181.39,5845400064,143869018112
"Jul 24, 2018",7716.51,8424.27,7705.5,8424.27,7277689856,132468064256
"Jul 23, 2018",7414.71,7771.5,7409.1,7711.11,5132480000,127271731200
"Jul 22, 2018",7417.8,7537.95,7383.82,7418.49,3695460096,127307890688
"Jul 21, 2018",7352.72,7437.64,7262.41,7419.29,3726609920,126178377728
"Jul 20, 2018",7467.4,7594.67,7323.26,7354.13,4936869888,128131997696
"Jul 19, 2018",7378.2,7494.46,7295.46,7466.86,5111629824,126585470976
"Jul 18, 2018",7315.32,7534.99,7280.47,7370.78,6103410176,125490839552
"Jul 17, 2018",6739.65,7387.24,6684.17,7321.04,5961950208,115602178048
"Jul 16, 2018",6357.01,6741.75,6357.01,6741.75,4725799936,109029466112
"Jul 15, 2018",6272.7,6403.46,6256.51,6359.64,3285459968,107572805632
"Jul 14, 2018",6247.5,6298.19,6212.22,6276.12,2923670016,107130486784
"Jul 13, 2018",6235.03,6310.55,6192.24,6238.05,3805400064,106905509888
"Jul 12, 2018",6396.78,6397.1,6136.42,6228.81,3770170112,109667352576
"Jul 11, 2018",6330.77,6444.96,6330.47,6394.71,3644859904,108525068288
"Jul 10, 2018",6739.21,6767.74,6320.72,6329.95,4052430080,115514351616
"Jul 09, 2018",6775.08,6838.68,6724.34,6741.75,3718129920,116117585920
"Jul 08, 2018",6857.8,6885.91,6747.98,6773.88,3386210048,117521514496
"Jul 07, 2018",6668.71,6863.99,6579.24,6856.93,3961080064,114268422144
"Jul 06, 2018",6638.69,6700.94,6533.55,6673.5,4313959936,113740677120
"Jul 05, 2018",6599.71,6749.54,6546.65,6639.14,4999240192,113061527552
"Jul 04, 2018",6550.87,6771.92,6450.46,6597.55,4176689920,112213950464
"Jul 03, 2018",6596.66,6671.37,6447.75,6529.59,4672309760,112988749824
"Jul 02, 2018",6380.38,6683.86,6305.7,6614.18,4396930048,109272858624
"Jul 01, 2018",6411.68,6432.85,6289.29,6385.82,4788259840,109797138432
"Jun 30, 2018",6214.22,6465.51,6214.22,6404.0,4543860224,106404847616
"Jun 29, 2018",5898.13,6261.66,5835.75,6218.3,3966230016,100981440512
"Jun 28, 2018",6153.16,6170.41,5873.05,5903.44,3467800064,105335562240
"Jun 27, 2018",6084.4,6180.0,6052.85,6157.13,3296219904,104149196800
"Jun 26, 2018",6253.55,6290.16,6093.67,6093.67,3279759872,107033337856
"Jun 25, 2018",6171.97,6327.37,6119.68,6249.18,5500810240,105625010176
"Jun 24, 2018",6164.28,6223.78,5826.41,6173.23,4566909952,105480101888
"Jun 23, 2018",6090.1,6224.82,6071.81,6162.48,3431360000,104198422528
"Jun 22, 2018",6737.88,6747.08,6006.6,6083.69,5079810048,115268878336
"Jun 21, 2018",6780.09,6810.94,6715.17,6729.74,3529129984,115976970240
"Jun 20, 2018",6770.76,6821.56,6611.88,6776.55,3888640000,115803979776
"Jun 19, 2018",6742.39,6822.5,6709.92,6769.94,4057029888,115305701376
"Jun 18, 2018",6510.07,6781.14,6446.68,6734.82,4039200000,111319474176
"Jun 17, 2018",6545.53,6589.11,6499.27,6499.27,3104019968,111912886272
"Jun 16, 2018",6455.45,6592.49,6402.29,6550.16,3194170112,110359371776
"Jun 15, 2018",6674.08,6681.08,6433.87,6456.58,3955389952,114084323328
"Jun 14, 2018",6342.75,6707.14,6334.46,6675.35,5138710016,108408373248
"Jun 13, 2018",6596.88,6631.66,6285.63,6349.9,5052349952,112740089856
"Jun 12, 2018",6905.82,6907.96,6542.08,6582.36,4654380032,118007037952
"Jun 11, 2018",6799.29,6910.18,6706.63,6906.92,4745269760,116175110144
"Jun 10, 2018",7499.55,7499.55,6709.07,6786.02,5804839936,128128073728
"Jun 09, 2018",7632.52,7683.58,7531.98,7531.98,3845220096,130386051072
"Jun 08, 2018",7685.14,7698.19,7558.4,7624.92,4227579904,131270959104
"Jun 07, 2018",7650.82,7741.27,7650.82,7678.24,4485799936,130671083520
"Jun 06, 2018",7625.97,7680.43,7502.01,7653.98,4692259840,130232893440
"Jun 05, 2018",7500.9,7643.23,7397.0,7633.76,4961739776,128080510976
"Jun 04, 2018",7722.53,7753.82,7474.04,7514.47,4993169920,131847151616
"Jun 03, 2018",7632.09,7754.89,7613.04,7720.25,4851760128,130287656960
"Jun 02, 2018",7536.72,7695.83,7497.26,7643.45,4939299840,128645062656
"Jun 01, 2018",7500.7,7604.73,7407.34,7541.45,4921460224,128014475264
"May 31, 2018",7406.15,7608.9,7361.13,7494.17,5127130112,126385594368
"May 30, 2018",7469.73,7573.77,7313.6,7406.52,4922540032,127453937664
"May 29, 2018",7129.46,7526.42,7090.68,7472.59,5662660096,121636012032
"May 28, 2018",7371.31,7419.05,7100.89,7135.99,5040600064,125747650560
"May 27, 2018",7362.08,7381.74,7270.96,7368.22,4056519936,125574873088
"May 26, 2018",7486.48,7595.16,7349.12,7355.88,4051539968,127681822720
"May 25, 2018",7592.3,7659.14,7392.65,7480.14,4867829760,129469906944
"May 24, 2018",7561.12,7738.6,7331.14,7587.34,6049220096,128924786688
"May 23, 2018",8037.08,8054.66,7507.88,7557.82,6491120128,137023922176
"May 22, 2018",8419.87,8423.25,8004.58,8041.78,5137010176,143533998080
"May 21, 2018",8522.33,8557.52,8365.12,8418.99,5154990080,145264312320
"May 20, 2018",8246.99,8562.41,8205.24,8513.25,5191059968,140555894784
"May 19, 2018",8255.73,8372.06,8183.35,8247.18,4712399872,140688801792
"May 18, 2018",8091.83,8274.12,7974.82,8250.97,5764190208,137881419776
"May 17, 2018",8370.05,8445.54,8054.12,8094.32,5862530048,142608318464
"May 16, 2018",8504.41,8508.43,8175.49,8368.83,6760220160,144877961216
"May 15, 2018",8705.19,8836.19,8456.45,8510.38,6705710080,148282703872
"May 14, 2018",8713.1,8881.12,8367.97,8716.79,7364149760,148403159040
"May 13, 2018",8515.49,8773.55,8395.12,8723.94,5866379776,145021599744
"May 12, 2018",8441.44,8664.86,8223.5,8504.89,6821380096,143743025152
"May 11, 2018",9052.96,9052.96,8394.46,8441.49,8488520192,154142113792
"May 10, 2018",9325.96,9396.04,9040.52,9043.94,6906699776,158772150272
"May 09, 2018",9223.73,9374.76,9031.62,9325.18,7226890240,157013377024
"May 08, 2018",9380.87,9462.75,9127.77,9234.82,7415869952,159671926784
"May 07, 2018",9645.67,9665.85,9231.53,9373.01,7394019840,164161159168
"May 06, 2018",9845.31,9940.14,9465.25,9654.8,7222280192,167541391360
"May 05, 2018",9700.28,9964.5,9695.12,9858.15,7651939840,165054595072
"May 04, 2018",9695.5,9779.2,9585.96,9700.76,8217829888,164955684864
"May 03, 2018",9233.97,9798.33,9188.15,9743.86,10207299584,157086744576
"May 02, 2018",9104.6,9256.52,9015.14,9235.92,7558159872,154868940800
"May 01, 2018",9251.47,9255.88,8891.05,9119.01,7713019904,157349511168
"Apr 30, 2018",9426.11,9477.14,9166.81,9240.55,8673920000,160301858816
"Apr 29, 2018",9346.41,9531.49,9193.71,9419.08,8853000192,158927945728
"Apr 28, 2018",8939.27,9412.09,8931.99,9348.48,7805479936,151990501376
"Apr 27, 2018",9290.63,9375.47,8987.05,8987.05,7566289920,157948411904
"Apr 26, 2018",8867.32,9281.51,8727.09,9281.51,8970559488,150736044032
"Apr 25, 2018",9701.03,9745.32,8799.84,8845.74,11083100160,164893310976
"Apr 24, 2018",8934.34,9732.61,8927.83,9697.5,10678800384,151843831808
"Apr 23, 2018",8794.39,8958.55,8788.81,8930.88,6925190144,149448441856
"Apr 22, 2018",8925.06,9001.64,8779.61,8802.46,6629899776,151650992128
"Apr 21, 2018",8848.79,8997.57,8652.15,8895.58,7548550144,150337388544
"Apr 20, 2018",8286.88,8880.23,8244.54,8845.83,8438110208,140776603648
"Apr 19, 2018",8159.27,8298.69,8138.78,8294.31,7063209984,138590552064
"Apr 18, 2018",7944.43,8197.8,7886.01,8163.42,6529909760,134925754368
"Apr 17, 2018",8071.66,8285.96,7881.72,7902.09,6900879872,137069985792
"Apr 16, 2018",8337.57,8371.15,7925.73,8058.67,5631309824,141570850816
"Apr 15, 2018",7999.33,8338.42,7999.33,8329.11,5244480000,135811555328
"Apr 14, 2018",7874.67,8140.71,7846.0,7986.24,5191430144,133681594368
"Apr 13, 2018",7901.09,8183.96,7758.93,7895.96,7764460032,134113542144
"Apr 12, 2018",6955.38,7899.23,6806.51,7889.25,8906250240,118047571968
"Apr 11, 2018",6843.47,6968.32,6817.59,6968.32,4641889792,116126228480
"Apr 10, 2018",6795.44,6872.41,6704.15,6834.76,4272750080,115305570304
"Apr 09, 2018",7044.32,7178.11,6661.99,6770.73,4894060032,119515766784
"Apr 08, 2018",6919.98,7111.56,6919.98,7023.52,3652499968,117392195584
"Apr 07, 2018",6630.51,7050.54,6630.51,6911.09,3976610048,112466558976
"Apr 06, 2018",6815.96,6857.49,6575.0,6636.32,3766810112,115600564224
"Apr 05, 2018",6848.65,6933.82,6644.8,6811.47,5639320064,116141531136
"Apr 04, 2018",7456.41,7469.88,6803.88,6853.84,4936000000,126434361344
"Apr 03, 2018",7102.26,7530.94,7072.49,7456.11,5499700224,120414863360
"Apr 02, 2018",6844.86,7135.47,6816.58,7083.8,4333440000,116037476352
"Apr 01, 2018",7003.06,7060.95,6526.87,6844.23,4532100096,118705192960
"Mar 31, 2018",6892.48,7207.85,6863.52,6973.53,4553269760,116819845120
"Mar 30, 2018",7171.45,7276.66,6683.93,6890.52,6289509888,121533513728
"Mar 29, 2018",7979.07,7994.33,7081.38,7165.7,6361229824,135204954112
"Mar 28, 2018",7836.83,8122.89,7809.17,7954.48,4935289856,132781244416
"Mar 27, 2018",8200.0,8232.78,7797.28,7833.04,5378250240,138918920192
"Mar 26, 2018",8498.47,8530.08,7921.43,8209.4,5921039872,143959785472
"Mar 25, 2018",8612.81,8682.01,8449.1,8495.78,4569880064,145881972736
"Mar 24, 2018",8901.95,8996.18,8665.7,8668.12,5664600064,150761701376
"Mar 23, 2018",8736.25,8879.62,8360.62,8879.62,5954120192,147940982784
"Mar 22, 2018",8939.44,9100.71,8564.9,8728.47,5530390016,151365943296
"Mar 21, 2018",8937.48,9177.37,8846.33,8929.28,6043129856,151315972096
"Mar 20, 2018",8619.67,9051.02,8389.89,8913.47,6361789952,145921605632
"Mar 19, 2018",8344.12,8675.87,8182.4,8630.65,6729110016,141240451072
"Mar 18, 2018",7890.52,8245.51,7397.99,8223.68,6639190016,133547311104
